Year,Hijacking Fatalities,Hijackings
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,26,7
1949,1,7
1950,0,4
1951,0,1
1952,2,4
1953,0,0
1954,2,3
1955,0,0
1956,1,2
1957,0,0
1958,19,9
1959,1,6
1960,3,8
1961,3,11
1962,0,1
1963,0,1
1964,0,0
1965,1,5
1966,2,4
1967,1,5
1968,1,29
1969,5,86
1970,7,77
1971,8,54
1972,24,59
1973,88,22
1974,83,20
1975,2,19
1976,15,16
1977,114,32
1978,4,26
1979,0,24
1980,1,38
1981,6,30
1982,1,32
1983,12,34
1984,33,27
1985,65,26
1986,87,16
1987,2,12
1988,12,15
1989,1,15
1990,86,38
1991,6,20
1992,4,11
1993,4,36
1994,8,27
1995,1,12
1996,125,17
1997,1,12
1998,1,14
1999,2,13
2000,5,27
2001,268,11
2002,2,10
2003,0,9
2004,0,4
2005,0,1
2006,0,3
2007,0,6
2008,0,3
2009,0,5
2010,0,1
2011,0,1
2012,2,3
2013,0,1
2014,0,3
2015,0,0
2016,0,2
2017,0,0
2018,0,1
2019,1,3
